issue_id, type, status, resolution, component, priority, reporter, created, assigned, assignee, resolved, created, assigned, summary, description, affected_version, fixed_version, votes, watches, description_words, assingnee_count, comment_count, commenter, Surprising, Dormant, Blocker, Security, Performance, Breakage, commit_count, file_count, files
2517,Bug,Resolved,Fixed,ambari-agent,Major,Siddharth Wagle,5.861284722,5.861284722,Siddharth Wagle,2013/07/03 20:38:15 +0100,5.861284722,5.861284722,/SUM decommiss data node work secur mode/SUM,Decommission datanode does not do kinit before refresh.,1.2.5,1.2.5,0,2,8,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2519,Improvement,Resolved,Fixed,ambari-web,Major,Srimanth Gunturi,0.050613426,0.050613426,Srimanth Gunturi,2013/06/28 06:11:49 +0100,0.050613426,0.050613426,/SUM add download csv action secur wizard/SUM,We need CSV content which shows which principals  keytabs etc. end up on the various hosts. This will be useful in scripts or other tools which can create appropriate environment.,1.2.5,1.2.5,0,2,30,1,3,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2522,Bug,Resolved,Fixed,ambari-agent,Major,Siddharth Wagle,0.981527778,0.981527778,Siddharth Wagle,2013/06/30 02:19:39 +0100,0.981527778,0.981527778,/SUM zookeep smoke test fail secur cluster/SUM,Zookeeper smoke test failing in secure cluster,1.2.5,1.2.5,0,2,7,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2525,Bug,Resolved,Fixed,ambari-server,Major,Dmitry Lysnichenko,1.050104167,1.050104167,Dmitry Lysnichenko,2013/07/02 16:26:10 +0100,1.050104167,1.050104167,/SUM add help messag abl download jdk setup option user abl specifi jdk/SUM,Add helpful message when not able to download jdk with setup options for the user to be able to specify the jdk.,1.2.5,1.2.5,0,3,22,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2532,Bug,Resolved,Fixed,ambari-agent,Major,Siddharth Wagle,0.004872685,0.004872685,Siddharth Wagle,2013/07/02 00:07:51 +0100,0.004872685,0.004872685,/SUM incorrect permiss taskcontrol cfg/SUM,/etc/conf/hadoop/taskcontroller.cfgIn secure mode permissions are set to '400'.,1.2.5,1.2.5,0,2,8,1,2,2,0 ,0 ,0 ,1 ,0 ,0 ,0,0,,
2534,Bug,Resolved,Fixed,ambari-server,Major,Sumit Mohanty,15.96800926,15.96800926,Sumit Mohanty,2013/07/18 00:05:57 +0100,15.96800926,15.96800926,/SUM some memori config set 1 ambari/SUM,Some memory configs are set to -1 in ambari-mapred.cluster.reduce.memory.mb-mapred.jobtracker.maxtasks.per.job-mapred.cluster.max.reduce.memory.mb-mapred.cluster.map.memory.mb-mapred.job.map.memory.mb-mapred.job.reduce.memory.mb-mapred.cluster.max.map.memory.mbModify the stack definition to put default values as appropriate.,1.2.4,1.2.5,0,3,18,1,5,3,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2542,Bug,Resolved,Fixed,ambari-server,Major,Nate Cole,0.432986111,0.432986111,Nate Cole,2013/07/03 00:19:33 +0100,0.432986111,0.432986111,/SUM custom repo url cannot set non root/SUM,The first iteration for creating custom repo URL persisted the new URL to disk. This poses a problem when running Ambari as non-root because the file system is owned by root. Change the implementation to save the override in the metainfo table.,1.2.5,1.2.5,0,2,42,1,7,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2545,Bug,Resolved,Fixed,ambari-agent,Critical,Dmitry Lysnichenko,0.044050926,0.044050926,Dmitry Lysnichenko,2013/07/02 22:00:16 +0100,0.044050926,0.044050926,/SUM regress agent extern hostnam verifi bootstrap warn/SUM,When confirming hosts using external addresses bootstrapping should be failed immediately and a warning should be logged. Right now this functionality is broken  neither warning in log nor failing immediately present,1.2.5,1.2.5,0,3,31,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2546,Improvement,Resolved,Fixed,ambari-web,Major,Srimanth Gunturi,0.037199074,0.037199074,Srimanth Gunturi,2013/07/02 23:00:16 +0100,0.037199074,0.037199074,/SUM simplifi local repo setup instal UI/SUM,Enhance the UI to use stacks API to give user a choice of stacks and be able to customize repository locations.,1.2.5,1.4.0,0,2,21,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2555,Improvement,Resolved,Fixed,ambari-web,Major,Andrii Tkach,5.402071759,5.402071759,Andrii Tkach,2013/07/09 02:32:35 +0100,5.402071759,5.402071759,/SUM secur wizard creat separ page princip keytab/SUM,Add step 'Create Principals and Keytabs' to Security wizard.,1.2.5,1.2.5,0,4,9,1,16,4,0 ,0 ,0 ,0 ,0 ,0 ,1,7,ambari-web/app/controllers/main/admin/security/add/step4.js;ambari-web/app/messages.js;ambari-web/app/routes/add_security.js;ambari-web/app/routes/main.js;ambari-web/app/templates/main/admin/security/add/step1.hbs;ambari-web/app/templates/main/admin/security/add/step2.hbs;ambari-web/app/templates/main/admin/security/add/step3.hbs;,
2556,Bug,Resolved,Fixed,ambari-server,Major,Dmitry Lysnichenko,0.05806713,0.05806713,Dmitry Lysnichenko,2013/07/03 18:27:58 +0100,0.05806713,0.05806713,/SUM ctrl C ambari server setup print python stack trace/SUM,We should be able to catch KeyBoardInterrupt in ambari-server main and print a useful message like:'Aborting ... Keyboard Interrupt.' and avoid the stack trace for the user.,1.2.5,1.2.5,0,3,27,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2568,Bug,Resolved,Fixed,ambari-agent,Critical,Dmitry Lysnichenko,0.077453704,0.077453704,Dmitry Lysnichenko,2013/07/04 21:37:59 +0100,0.077453704,0.077453704,/SUM setup ldap valid true fals respons/SUM,Garbage responses to true/false questions just pass thru. Notice below  just put in garbage for Use SSL and that's what it would have written.Need validation to confirm they enter either 1) return to accept default or 2) the word true or 3) the word false. Else  inform the user'Property must be 'true' or 'false'.' and ask again.Secondary URL :Use SS &#91;true/false&#93; (false): asdUser name attribute* (uid):Base DN* :Property cannot be blank.Base DN* : asdBind anonymously* true/false (false):Manager DN* :asdEnter Manager Password*:Re-enter password:Passwords do not matchEnter Manager Password*:Re-enter password:====================Review Settings====================authentication.ldap.primaryUrl: my.url:849authentication.ldap.useSSL: asdauthentication.ldap.usernameAttribute: uid,1.2.5,1.2.5,0,3,93,1,2,2,0 ,0 ,0 ,1 ,0 ,0 ,0,0,,
2578,Bug,Resolved,Fixed,ambari-server,Major,Dmitry Lysnichenko,0.152372685,0.151956019,Dmitry Lysnichenko,2013/07/05 20:15:31 +0100,0.152372685,0.151956019,/SUM use anoth user ambari server user creat local group ambari server user name/SUM,Using an ambari-qa user (that is a ldap user and he has hadoop set up as a primary ldap group) [root@va21 ldap]# id ambari-qauid=524(ambari-qa) gid=522(hadoop) groups=522(hadoop)causes ambari-server setup to create an ambari-qa local group (at /etc/group). ambari-qa:x:601:ambari-qa[root@va21 ldap]# id ambari-qauid=524(ambari-qa) gid=522(hadoop) groups=522(hadoop) 601(ambari-qa)Ldap users and groups are transparent for ambari-server  it starts well.The problem is that additional group is created.,1.2.5,1.2.5,0,3,73,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2585,Bug,Resolved,Fixed,ambari-web,Major,Aleksandr Kovalenko,0.223553241,0.223553241,Aleksandr Kovalenko,2013/07/08 19:19:29 +0100,0.223553241,0.223553241,/SUM host check report show host without issu/SUM,Report contains hosts  which don't have issues  but should show 'A space delimited list of hosts which have issues'.,1.2.5,1.2.5,0,3,19,1,3,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2590,Bug,Resolved,Fixed,,Major,Xi Wang,1.028796296,1.028796296,Xi Wang,2013/07/09 22:57:34 +0100,1.028796296,1.028796296,/SUM JS error delet widget sort remov edit sign/SUM,,1.2.5,1.2.5,0,2,1,1,3,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2594,Bug,Resolved,Fixed,ambari-agent,Major,Siddharth Wagle,0.004282407,0.004282407,Siddharth Wagle,2013/07/09 06:36:14 +0100,0.004282407,0.004282407,/SUM hdp instal fail due puppet syntax error/SUM,namenode_host is not an hash or array when accessing it with 0 at /var/lib/ambari-agent/puppet/modules/hdp/manifests/params.pp:70 on node host1.,1.2.5,1.2.5,0,2,17,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2595,Bug,Resolved,Fixed,ambari-web,Major,Andrii Tkach,0.420844907,0.420844907,Andrii Tkach,2013/07/09 21:50:23 +0100,0.420844907,0.420844907,/SUM properti name cannot ad differ custom site xml/SUM,Steps (Installer Wizard):Go to 'Customize Services' page.Select 'HDFS' tab.Add custom property 'xxx' to 'Custom core-site.xml' panel.Try add custom property 'xxx' to 'Custom hdfs-site.xml' panel.Result:Custom property can not be added to 'Custom hdfs-site.xml' panel (see attachment).Steps (Ambari monitoring UI):Go to 'Customize Services' page.Select 'HDFS' tab.Add custom property to 'Custom core-site.xml' panel (for example  'install-test-core-site').Continue and end hadoop installation.Go to 'Services' page.Select 'MapReduce' tab.Try add custom property 'install-test-core-site' to 'Custom mapred-site.xml' panel.Result:Custom property can not be added to 'Custom mapred-site.xml' panel (see attachment).,1.2.5,1.2.5,0,3,81,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,1,1,ambari-web/app/views/common/configs/services_config.js;,
2600,Bug,Resolved,Fixed,ambari-web,Major,Antonenko Alexander,0.302175926,0.302175926,Antonenko Alexander,2013/07/09 23:10:18 +0100,0.302175926,0.302175926,/SUM add quick link web UI oozi hue nagio ganglia/SUM,There are no quick links for Oozie. Similarly  some other services also are missing the quick links.,1.2.5,1.2.5,0,3,17,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2605,Bug,Resolved,Fixed,ambari-agent,Major,Siddharth Wagle,0.052685185,0.052685185,Siddharth Wagle,2013/07/10 01:01:58 +0100,0.052685185,0.052685185,/SUM kdestroy requir zookeep smoke test/SUM,zookeeper smoke test passes without having to 'kdestroy' on the user running the smoke test.,1.2.5,1.2.5,0,2,15,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2608,Bug,Resolved,Fixed,ambari-server,Major,Sumit Mohanty,0.872268519,0.872268519,Sumit Mohanty,2013/07/10 22:40:56 +0100,0.872268519,0.872268519,/SUM webhcat oozi servic start rhel5 enabl secur critic error kinit nagio/SUM,FE only has support to provide single path for kinit. As Ambari supports mixed OS deployment it cannot be guaranteed that kinit exists at the same path on all nodes. FE should allow providing a set of look-up paths for kinit as well as the BE should support a set of default lookup paths.,1.2.5,1.2.5,0,2,54,1,6,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2612,Bug,Resolved,Fixed,ambari-agent; ambari-server,Major,Dmytro Shkvyra,0.773530093,0.773530093,Dmytro Shkvyra,2013/07/11 06:22:02 +0100,0.773530093,0.773530093,/SUM renam agent fqdn properti ambari prop server fqdn/SUM,lets just rename agent -&gt; server,1.2.5,1.2.5,0,2,6,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2613,Bug,Resolved,Fixed,ambari-web,Major,Aleksandr Kovalenko,1.304803241,1.304803241,Aleksandr Kovalenko,2013/07/11 19:31:40 +0100,1.304803241,1.304803241,/SUM host check truncat check process make difficult know actual process conflict/SUM,Processes are truncated too short and can't really tell what's in conflict. Since there is a lot of space on the right (in fact  the hostname column is too far to the left compared to other sections)  we should display more characters (with hover tooltip showing full text).,1.2.5,1.2.5,0,3,48,1,5,3,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2614,Bug,Resolved,Fixed,ambari-web,Minor,Andrii Tkach,0.273159722,0.273159722,Andrii Tkach,2013/07/10 19:20:09 +0100,0.273159722,0.273159722,/SUM popov config name goe beyond contain/SUM,See attachecd screenshot.,1.2.5,1.2.5,0,3,3,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2619,Bug,Resolved,Fixed,ambari-web,Major,Antonenko Alexander,0.019560185,0.019560185,Antonenko Alexander,2013/07/10 19:16:08 +0100,0.019560185,0.019560185,/SUM wrong info servic summari tab datanod live tasktrack live regionserv live/SUM,1. Install cluster2. On the host with SNameNode  we also have a region server3. Stop snamenode component on that host4. Services &gt; hbase &gt; summary shows region server is not liveAlso after stopping DataNode or TaskTracker  component status changes are not reflected on Services &gt; summary tab,1.2.5,1.2.5,0,3,47,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2631,Bug,Resolved,Fixed,ambari-server,Major,Oleksandr Diachenko,0.373796296,0.00380787,Sumit Mohanty,2013/07/12 05:29:14 +0100,0.373796296,0.00380787,/SUM host cleanup left two packag ambari log4j libconfus/SUM,,1.2.5,1.2.5,0,4,1,1,4,3,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2632,Bug,Resolved,Fixed,,Critical,Xi Wang,0.025196759,0.025196759,Xi Wang,2013/07/11 23:05:30 +0100,0.025196759,0.025196759,/SUM dashboard widget hover show detail experi jar/SUM,,1.2.5,1.2.5,0,2,1,1,3,1,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2633,Bug,Resolved,Fixed,,Major,Sumit Mohanty,0.013136574,0.013136574,Sumit Mohanty,2013/07/12 00:30:09 +0100,0.013136574,0.013136574,/SUM reset latest stack version 1 2 5/SUM,Reset the latest stack version for 1.2.5,1.2.5,1.2.5,0,2,7,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2635,Bug,Resolved,Fixed,ambari-web,Major,Srimanth Gunturi,0.951736111,0.951736111,Srimanth Gunturi,2013/07/13 00:04:38 +0100,0.951736111,0.951736111,/SUM perf servic summari view ineffici bind host compon/SUM,In ambari-web/app/views/main/service/info/summary.js#hostComponentsUpd()  is called per each hostComponent's host and master property change. On a 150 node cluster  we get like 300 calls just for this method.Due to this  service_mapper  which usually maps in 600ms  takes now 5.8s.,1.2.5,1.2.5,0,3,38,1,7,3,1 ,0 ,0 ,0 ,1 ,0 ,0,0,,
2636,Bug,Resolved,Fixed,,Major,Xi Wang,5.87619213,5.87619213,Xi Wang,2013/07/17 22:50:04 +0100,5.87619213,5.87619213,/SUM dashboard metric legend size increas unexpectedli mouseov line space/SUM,This happened in a very specific situation.1. Put mouse on the line space around a metric widget.2. hover on the widget with mouse down.Result:The legend show up as a strange bigger size.,1.2.5,1.2.5,0,2,32,1,3,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2637,Improvement,Resolved,Fixed,ambari-web,Major,Jaimin D Jetly,3.764548611,3.764548611,Jaimin D Jetly,2013/07/15 23:46:22 +0100,3.764548611,3.764548611,/SUM secur csv cleanup/SUM,Should say 'Hive Metastore and HiveServer2'  not just HiveServer2. Even though they are co-located master components  let's make it clear this principal is for both include keytab file column. In addition to the keytab full path column (/etc/security/keytabs/jt.service.keytab)  include a column with just the filename (jt.service.keytab). Easier to copy/paste/parse if you want to use the CSV file.,1.2.5,1.2.5,0,2,58,1,5,2,1 ,0 ,0 ,0 ,0 ,0 ,1,2,ambari-web/app/controllers/main/admin/security/add/step3.js;ambari-web/app/utils/string_utils.js;,
2640,Bug,Resolved,Fixed,ambari-web,Major,Aleksandr Kovalenko,0.076145833,0.076145833,Aleksandr Kovalenko,2013/07/12 14:45:40 +0100,0.076145833,0.076145833,/SUM go back custom servic page instal page reset certain directori valu/SUM,Steps to reproduce: Install using non-default directories Upon install failure  go back to Customize Services page from the left nav. Certain directories (NN dirs  SNN dir  DN dirs  Oozie Data Dir  ZK Dir  etc) are reverted back to the default. Other parameters are not reverted back.,1.2.4,1.2.5,0,3,46,1,3,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2642,Improvement,Resolved,Fixed,ambari-web,Major,Oleg Nechiporenko,11.21290509,11.21290509,Oleg Nechiporenko,2013/07/23 21:57:56 +0100,11.21290509,11.21290509,/SUM updat ember i18n/SUM,,1.4.0,1.4.0,0,3,1,1,3,3,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2643,Improvement,Resolved,Fixed,,Major,Nate Cole,0.066319444,0.066319444,Nate Cole,2013/07/12 19:31:55 +0100,0.066319444,0.066319444,/SUM read timeout issu oracl jdbc connect read long timeout/SUM,Read timeout issues in Oracle JDBC connections where read has a long timeout. This happens when the read timeout is too long. In order to set appropriate timeout  add specially prefixed values in ambari.properties,1.2.5,1.2.5,0,2,34,1,4,2,1 ,0 ,0 ,0 ,1 ,0 ,0,0,,
2644,Bug,Resolved,Fixed,ambari-server,Major,Siddharth Wagle,0.032893519,0.032893519,Siddharth Wagle,2013/07/12 21:51:03 +0100,0.032893519,0.032893519,/SUM ambari server find password remot databas password encrypt enabl/SUM,Performed cluster setup as proposed at E2E test scenario. ambari-server setupambari-server setup-ldapambari-server encrypt-passwordsambari-server setup-httpsambari-server startServer does not start. It complains about missing password file / db password alias19:03:36 249 INFO Configuration:300 - Generation of file with password19:03:37 320 INFO CredentialProvider:146 - action =&gt; PUT  alias =&gt; ambari.db.password19:03:37 885 INFO Configuration:313 - Reading password from existing file19:03:38 838 INFO CredentialProvider:146 - action =&gt; PUT  alias =&gt; ambari.ldap.manager.password19:12:02 925 INFO Configuration:313 - Reading password from existing file19:12:02 946 INFO Configuration:324 - API SSL Authentication is turned on.19:12:02 946 INFO Configuration:329 - Reading password from existing file19:12:02 948 INFO Configuration:481 - Hosts Mapping File null19:12:02 951 INFO HostsMap:60 - Using hostsmap file null19:12:04 467 INFO MasterKeyServiceImpl:209 - Loading from persistent master: #1.0# Fri  Jul 12 2013 19:03:34.71719:12:06 016 INFO AmbariServer:446 - Getting the controller19:12:11 146 INFO CertificateManager:68 - Initialization of root certificate19:12:11 147 INFO CertificateManager:70 - Certificate exists:false19:12:11 147 INFO CertificateManager:137 - Generation of server certificate19:12:16 383 INFO ShellCommandUtil:43 - Command openssl genrsa -des3 -passout pass:n15KV1q6aWRZIP86XAjpTdbTaKo0HHWIsTuaOPZQdxycChECKG -out /var/lib/ambari-server/keys/ca.key 4096 was finished with exit code: 0 - the operation was completely successfully.19:12:16 431 INFO ShellCommandUtil:43 - Command openssl req -passin pass:n15KV1q6aWRZIP86XAjpTdbTaKo0HHWIsTuaOPZQdxycChECKG -new -key /var/lib/ambari-server/keys/ca.key -out /var/lib/ambari-server/keys/ca.crt -batch was finished with exit code: 0 - the operation was completely successfully.19:12:16 483 INFO ShellCommandUtil:43 - Command openssl x509 -passin pass:n15KV1q6aWRZIP86XAjpTdbTaKo0HHWIsTuaOPZQdxycChECKG -req -days 365 -in /var/lib/ambari-server/keys/ca.crt -signkey /var/lib/ambari-server/keys/ca.key -out /var/lib/ambari-server/keys/ca.crt was finished with exit code: 0 - the operation was completely successfully.19:12:16 496 INFO ShellCommandUtil:43 - Command openssl pkcs12 -export -in /var/lib/ambari-server/keys/ca.crt -inkey /var/lib/ambari-server/keys/ca.key -certfile /var/lib/ambari-server/keys/ca.crt -out /var/lib/ambari-server/keys/keystore.p12 -password pass:n15KV1q6aWRZIP86XAjpTdbTaKo0HHWIsTuaOPZQdxycChECKG -passin pass:n15KV1q6aWRZIP86XAjpTdbTaKo0HHWIsTuaOPZQdxycChECKG was finished with exit code: 0 - the operation was completely successfully.19:12:16 883 INFO AmbariServer:123 - ********* Meta Info initialized **********19:12:16 896 INFO ClustersImpl:88 - Initializing the ClustersImpl19:12:17 115 ERROR Configuration:610 - Error reading from credential store.19:12:17 116 ERROR Configuration:616 - Cannot read password for alias = /etc/ambari-server/conf/password.dat19:12:17 117 ERROR AmbariServer:455 - Failed to run the Ambari Serverjava.lang.RuntimeException: Unable to read database password at org.apache.ambari.server.configuration.Configuration.readPasswordFromFile(Configuration.java:596) at org.apache.ambari.server.configuration.Configuration.getRcaDatabasePassword(Configuration.java:583) at org.apache.ambari.eventdb.webservice.WorkflowJsonService.setDBProperties(WorkflowJsonService.java:95) at org.apache.ambari.server.controller.AmbariServer.performStaticInjection(AmbariServer.java:437) at org.apache.ambari.server.controller.AmbariServer.run(AmbariServer.java:125) at org.apache.ambari.server.controller.AmbariServer.main(AmbariServer.java:452)Caused by: java.io.FileNotFoundException: File '/etc/ambari-server/conf/password.dat' does not exist at org.apache.commons.io.FileUtils.openInputStream(FileUtils.java:265) at org.apache.commons.io.FileUtils.readFileToString(FileUtils.java:1457) at org.apache.commons.io.FileUtils.readFileToString(FileUtils.java:1475) at org.apache.ambari.server.configuration.Configuration.readPasswordFromFile(Configuration.java:594) ... 5 more19:12:17 118 ERROR AmbariServer:420 - Error stopping the serverjava.lang.NullPointerException at org.apache.ambari.server.controller.AmbariServer.stop(AmbariServer.java:418) at org.apache.ambari.server.controller.AmbariServer.main(AmbariServer.java:457)Content of ambari.properties:server.jdbc.rca.driver=oracle.jdbc.driver.OracleDriverauthentication.ldap.managerDn=uid=hdfs ou=people ou=dev dc=apache dc=orgauthentication.ldap.primaryUrl=localhost:389server.jdbc.rca.url=jdbc:oracle:thin:@ip-10-34-79-165.ec2.internal:1521/XEserver.connection.max.idle.millis=900000server.jdbc.port=1521server.version.file=/var/lib/ambari-server/resources/versionserver.jdbc.rca.user.passwd=/etc/ambari-server/conf/password.datapi.authenticate=truejce_policy.url=http://public-repo-1.hortonworks.com/ARTIFACTS/jce_policy-6.zipserver.persistence.type=remoteclient.api.ssl.key_name=https.keyauthentication.ldap.useSSL=falseambari-server.user=ambar-serverclient.api.ssl.port=8443authentication.ldap.usernameAttribute=uidserver.jdbc.user.name=ambariserver.jdbc.schema=XEjava.home=/usr/jdk64/jdk1.6.0_31server.os_type=redhat6api.ssl=truebootstrap.script=/usr/lib/python2.6/site-packages/ambari_server/bootstrap.pyclient.api.ssl.cert_name=https.crtauthentication.ldap.bindAnonymously=falseclient.security=ldapserver.jdbc.hostname=ip-10-34-79-165.ec2.internalresources.dir=/var/lib/ambari-server/resourcessecurity.passwords.encryption.enabled=truebootstrap.setup_agent.script=/usr/lib/python2.6/site-packages/ambari_server/setupAgent.pyserver.jdbc.driver=oracle.jdbc.driver.OracleDriverjdk.url=http://public-repo-1.hortonworks.com/ARTIFACTS/jdk-6u31-linux-x64.binsecurity.server.keys_dir=/var/lib/ambari-server/keysserver.jdbc.rca.user.name=ambariwebapp.dir=/usr/lib/ambari-server/webmetadata.path=/var/lib/ambari-server/resources/stacksserver.jdbc.url=jdbc:oracle:thin:@ip-10-34-79-165.ec2.internal:1521/XEserver.fqdn.service.url=http://169.254.169.254/latest/meta-data/public-hostnamebootstrap.dir=/var/run/ambari-server/bootstrapauthentication.ldap.baseDn=dc=apache dc=orgserver.jdbc.user.passwd=${alias=ambari.db.password}authentication.ldap.managerPassword=${alias=ambari.ldap.manager.password}server.jdbc.database=oraclesecurity.server.two_way_ssl=trueFile /etc/ambari-server/conf/password.dat is missingSetup flow:[root@ip-10-116-65-200 kerb]# ambari-server setupUsing python /usr/bin/python2.6Initializing...Setup ambari-serverChecking SELinux...SELinux status is 'enabled'SELinux mode is 'enforcing'Temporarily disabling SELinuxWARNING: SELinux is set to 'permissive' mode and temporarily disabled.OK to continue [y/n] (y)? yCustomize user account for ambari-server daemon [y/n] (n)? yEnter user account for ambari-server daemon (root):ambar-serverAdjusting ambari-server permissions and ownership...Checking iptables...iptables is disabled now. please reenable later.Checking JDK...Downloading JDK from http://public-repo-1.hortonworks.com/ARTIFACTS/jdk-6u31-linux-x64.bin to /var/lib/ambari-server/resources/jdk-6u31-linux-x64.binJDK distribution size is 85581913 bytesjdk-6u31-linux-x64.bin... 100% (81.6 MB of 81.6 MB)Successfully downloaded JDK distribution to /var/lib/ambari-server/resources/jdk-6u31-linux-x64.binTo install the Oracle JDK you must accept the license terms found at http://www.oracle.com/technetwork/java/javase/downloads/jdk-6u21-license-159167.txt. Not accepting will cancel the Ambari Server setup.Do you accept the Oracle Binary Code License Agreement [y/n] (y)? Installing JDK to /usr/jdk64Successfully installed JDK to /usr/jdk64/jdk1.6.0_31Downloading JCE Policy archive from http://public-repo-1.hortonworks.com/ARTIFACTS/jce_policy-6.zip to /var/lib/ambari-server/resources/jce_policy-6.zipSuccessfully downloaded JCE Policy archive to /var/lib/ambari-server/resources/jce_policy-6.zipCompleting setup...Configuring database...Enter advanced database configuration [y/n] (n)? ySelect database:1 - PostgreSQL (Embedded)2 - Oracle[1]:2Hostname [localhost]:ip-10-34-79-165.ec2.internalPort [1521]:Select Oracle identifier type:1 - Service Name2 - SID[1]:XEInvalid number.Select Oracle identifier type:1 - Service Name2 - SID[1]:1Service Name [ambari]:XEUsername [ambari]: Enter Database Password [bigdata]: WARNING: Before starting Ambari Server  you must copy the Oracle JDBC driver JAR file to /usr/share/java.Press &lt;enter&gt; to continue.Copying JDBC drivers to server resources...Configuring remote database connection properties...WARNING: Cannot find oracle sqlplus client in the path to load the Ambari Server schema. Before starting Ambari Server  you must run the following DDL against the database to create the schema sqlplus ambari/bigdata &lt; /var/lib/ambari-server/resources/Ambari-DDL-Oracle-CREATE.sql Press &lt;enter&gt; to continue.WARNING: The cli was not foundAmbari Server 'setup' completed with warnings.[root@ip-10-116-65-200 kerb]# less /etc/passwd,1.2.5,1.2.5,0,2,665,1,4,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2646,Improvement,Resolved,Fixed,ambari-web,Major,Jeff Sposetti,4.724618056,4.724618056,Jeff Sposetti,2013/07/17 22:38:37 +0100,4.724618056,4.724618056,/SUM improv style hostcleanup code area/SUM,,1.2.5,1.2.5,0,3,1,1,3,2,0 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2653,Bug,Resolved,Fixed,ambari-agent; ambari-server,Major,Dmytro Shkvyra,1.184212963,0.221828704,Dmytro Shkvyra,2013/07/17 17:53:52 +0100,1.184212963,0.221828704,/SUM add umask check host check alert umask 022/SUM,Add umask checks for host checks - we should alert if umask is not 022.,1.2.5,1.2.5,0,4,15,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2657,Improvement,Resolved,Fixed,ambari-web,Major,Andrii Tkach,7.256944444,7.256944444,Andrii Tkach,2013/07/23 22:06:16 +0100,7.256944444,7.256944444,/SUM add type new password field chang password ambari user/SUM,We should add a third text box to re-type the new password while changing the password for an ambari user.,1.2.5,1.4.0,0,3,20,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2660,Bug,Resolved,Fixed,ambari-web,Major,Srimanth Gunturi,0.012997685,0.012997685,Srimanth Gunturi,2013/07/16 19:55:47 +0100,0.012997685,0.012997685,/SUM host check say pass host fail regist/SUM,When all hosts fail to register  there are no warnings  and hence we show OK for host checks.,1.2.5,1.2.5,0,2,18,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,0,0,,
2661,Bug,Resolved,Fixed,ambari-web,Major,Jaimin D Jetly,0.096527778,0.096527778,Jaimin D Jetly,2013/07/16 22:51:37 +0100,0.096527778,0.096527778,/SUM secur wizard relogin step3 without quit wizard throw JS error/SUM,Steps to reproduce: Go to step-3 (Generate principals and keytabs) of Enable security wizard. Restart Amabri server. Refresh on step-3. ui will take you to login page. Entering correct credentials  user will be navigated again to step-3 of security wizard. At this point JS error is encountered.,1.2.5,1.2.5,0,2,48,1,2,2,1 ,0 ,0 ,0 ,0 ,0 ,1,1,ambari-web/app/routes/main.js;,
