summary,description,Security,Performance
Spring DSL - redeliveryPolicy element should have ref attribute,I'd like to be able to create reusable RedeliveryPolicy's in Spring and refer to them in Camel's Spring DSL. This is to achieve two goals: I can use the Spring PropertyPlaceholderConfigurer to enable us to tune timeouts and redelivery in production - we cannot do that with Camel's Spring DSL; I can have several routes sharing the same RedeliveryPolicy (but possibly with different exceptions).There doesn't seem to be a way to share RedeliveyPolicy's between onException elements  meaning it needs to be duplicated (at least not that I could find in the docco)For example  I'd like to do something like this: &lt;bean id='redeliveryPolicy' class='org.apache.camel.processor.RedeliveryPolicy'&gt; &lt;property name='...' value=${property.placeholder}/&gt; &lt;/bean&gt; &lt;camelContext&gt; &lt;route&gt; &lt;from uri='somewhere'/&gt; &lt;onException&gt; &lt;exception&gt;ExceptionA&lt;/exception&gt; &lt;redeliveryPolicy ref='redeliveryPolicy'/&gt; &lt;to uri='deadLetter'/&gt; &lt;/onException&gt; &lt;to uri='unreliableEndpoint'/&gt; &lt;/route&gt; &lt;route&gt; &lt;from uri='xyz'/&gt; &lt;onException&gt; &lt;exception&gt;ExceptionA&lt;/exception&gt; &lt;redeliveryPolicy ref='differentRedeliveryPolicy'/&gt; &lt;to uri='differentDeadLetter'/&gt; &lt;/onException&gt; &lt;to uri='unreliableEndpoint'/&gt; &lt;/route&gt; &lt;route&gt; &lt;from uri='somewhereElse'/&gt; &lt;onException&gt; &lt;exception&gt;ExceptionB&lt;/exception&gt; &lt;redeliveryPolicy ref='redeliveryPolicy'/&gt; &lt;to uri='deadLetter'/&gt; &lt;/onException&gt; &lt;to uri='anotherUnreliableEndpoint'/&gt; &lt;/route&gt; &lt;/camelContext&gt;Thanks!,0,0
camel-http - does not remove httpClient.xxx URI options,When using the options to configure httpClient using URI option  they should be removed from the uri that is left over to the HTTPProducer.http://someserver?httpClient.soTimeOut=5000should remove the httpClient.xxx so it'shttp://someserver,0,0
ParallelProcessing and executor flags are ignored in Multicast processor,The parallelProcessing and executor arguments are ignored in the constructor of MulticastProcessor. Here is a call that MulticastType makesorg.apache.camel.model.MulticastType.java return new MulticastProcessor(list  aggregationStrategy  isParallelProcessing()  threadPoolExecutor);MulticastProcessor ignores parallelProcessing and executor arguments and invokes a chain constructor with '.. false  null ..'org.apache.camel.processor.MulticastProcessor.java public MulticastProcessor(Collection&lt;Processor&gt; processors  AggregationStrategy aggregationStrategy  boolean parallelProcessing  ThreadPoolExecutor executor) { this(processors  aggregationStrategy  false  null  false); } public MulticastProcessor(Collection&lt;Processor&gt; processors  AggregationStrategy aggregationStrategy  boolean parallelProcessing  ThreadPoolExecutor executor  boolean streaming) { notNull(processors  'processors'); this.processors = processors; this.aggregationStrategy = aggregationStrategy; this.isParallelProcessing = parallelProcessing; if (isParallelProcessing) { if (executor != null) { this.executor = executor; } else { // setup default Executor this.executor = new ThreadPoolExecutor(processors.size()  processors.size()  0  TimeUnit.MILLISECONDS  new ArrayBlockingQueue&lt;Runnable&gt;(processors.size())); } } this.streaming = streaming; }Attached a patch but have not tested it. Also need a unit test for this.,0,1
Camel should propagate exception cause in InOnly scenarios,In the case an exception is handled by the DeadLetterChannel  Camel will currently set the exception to null and add an exchange property containing the exception. We should also add this as a message header so that it will be propagated to external services  like a JBI service.,0,0
CxfExchange does not copy unit of work and thus its null and thus NPE is thrown,William could you check this error reported by end userSee nabble:http://www.nabble.com/UnitOfWork-td20829434s22882.html,0,0
camel-mina adds two versions of slf4j on the classpath,One version comes from camel-mina (version 1.5.5) and one from mina-core (version 1.4.3). This causes problems as seen when trying to use camel-mina at runtime or in my case deploying to ServiceMix. This is the error I getorg.apache.xbean.kernel.ServiceRegistrationException: java.lang.NoSuchFieldError: name at org.apache.xbean.kernel.standard.ServiceManagerRegistry.registerService(ServiceManagerRegistry.java:424) at org.apache.xbean.kernel.standard.StandardKernel.registerService(StandardKernel.java:220) at org.apache.xbean.server.spring.loader.SpringLoader.load(SpringLoader.java:152) at org.apache.servicemix.common.xbean.AbstractXBeanDeployer.deploy(AbstractXBeanDeployer.java:83) at org.apache.servicemix.camel.CamelSpringDeployer.deploy(CamelSpringDeployer.java:83) at org.apache.servicemix.common.BaseServiceUnitManager.doDeploy(BaseServiceUnitManager.java:88) at org.apache.servicemix.common.BaseServiceUnitManager.deploy(BaseServiceUnitManager.java:69) at org.apache.servicemix.jbi.framework.DeploymentService.deployServiceAssembly(DeploymentService.java:508) at org.apache.servicemix.jbi.framework.AutoDeploymentService.checkPendingSAs(AutoDeploymentService.java:482) at org.apache.servicemix.jbi.framework.AutoDeploymentService.checkPendingComponents(AutoDeploymentService.java:535) at org.apache.servicemix.jbi.framework.AutoDeploymentService.updateSharedLibrary(AutoDeploymentService.java:317) at org.apache.servicemix.jbi.framework.AutoDeploymentService.updateArchive(AutoDeploymentService.java:254) at org.apache.servicemix.jbi.framework.AutoDeploymentService.monitorDirectory(AutoDeploymentService.java:667) at org.apache.servicemix.jbi.framework.AutoDeploymentService.access$800(AutoDeploymentService.java:62) at org.apache.servicemix.jbi.framework.AutoDeploymentService$1.run(AutoDeploymentService.java:631) at java.util.TimerThread.mainLoop(Timer.java:512) at java.util.TimerThread.run(Timer.java:462)Caused by: java.lang.NoSuchFieldError: name at org.slf4j.impl.SimpleLogger.&lt;init&gt;(SimpleLogger.java:83) at org.slf4j.impl.SimpleLoggerFactory.getLogger(SimpleLoggerFactory.java:67) at org.slf4j.LoggerFactory.getLogger(LoggerFactory.java:103) at org.apache.mina.util.NamePreservingRunnable.&lt;init&gt;(NamePreservingRunnable.java:32) at org.apache.mina.transport.socket.nio.SocketAcceptor.startupWorker(SocketAcceptor.java:165) at org.apache.mina.transport.socket.nio.SocketAcceptor.bind(SocketAcceptor.java:141) at org.apache.camel.component.mina.MinaConsumer.doStart(MinaConsumer.java:60) at org.apache.camel.impl.ServiceSupport.start(ServiceSupport.java:47) at org.apache.camel.impl.DefaultCamelContext.addService(DefaultCamelContext.java:421) at org.apache.camel.impl.DefaultCamelContext.startRoutes(DefaultCamelContext.java:659) at org.apache.camel.impl.DefaultCamelContext.doStart(DefaultCamelContext.java:632) at org.apache.camel.spring.SpringCamelContext.maybeDoStart(SpringCamelContext.java:167) at org.apache.camel.spring.SpringCamelContext.doStart(SpringCamelContext.java:162) at org.apache.camel.impl.ServiceSupport.start(ServiceSupport.java:47) at org.apache.camel.spring.SpringCamelContext.maybeStart(SpringCamelContext.java:97) at org.apache.camel.spring.SpringCamelContext.onApplicationEvent(SpringCamelContext.java:116) at org.springframework.context.event.SimpleApplicationEventMulticaster$1.run(SimpleApplicationEventMulticaster.java:77) at org.springframework.core.task.SyncTaskExecutor.execute(SyncTaskExecutor.java:49) at org.springframework.context.event.SimpleApplicationEventMulticaster.multicastEvent(SimpleApplicationEventMulticaster.java:75) at org.springframework.context.support.AbstractApplicationContext.publishEvent(AbstractApplicationContext.java:246) at org.springframework.context.support.AbstractApplicationContext.finishRefresh(AbstractApplicationContext.java:617) at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:355) at org.apache.xbean.server.spring.configuration.SpringConfiguration.&lt;init&gt;(SpringConfiguration.java:63) at org.apache.xbean.server.spring.configuration.SpringConfigurationServiceFactory.createService(SpringConfigurationServiceFactory.java:106) at org.apache.xbean.kernel.standard.ServiceManager.start(ServiceManager.java:420) at org.apache.xbean.kernel.standard.ServiceManager.initialize(ServiceManager.java:200) at org.apache.xbean.kernel.standard.RegistryFutureTask$RegisterCallable.call(RegistryFutureTask.java:110) at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:269) at java.util.concurrent.FutureTask.run(FutureTask.java:123) at org.apache.xbean.kernel.standard.ServiceManagerRegistry.registerService(ServiceManagerRegistry.java:409),0,0
The Mina VM protocol is not recognising codec and other options,Use of the vm protocol appears to ignore any codec options. There could be other options that are missed also.Using the same URI but for tcp works fine.,0,0
camel-velocity - log4j is needed at runtime,See nabble:http://www.nabble.com/velocity%3A-Couldn%27t-find-class-org.apache.velocity.runtime.log.SimpleLog4JLogSystem-td21036449s22882.htmlJon do you mind taking a look at this  you are are good at maven pom's,0,0
File component - exclusive read lock strategy using renaming,See CAMEL-760But an end user has problem with this  the read lock can not be granted and a IOException is thrown.We should support the same strategy as the FTP consumer does with a try to rename the file.Also we should allow some nice URI options to select the strategy nio locks renaming,0,0
MockEndpoint - sleep for empty test doesnt work,See nabble:http://www.nabble.com/MockEndpoint---sleep-for-empty-tests-is-flawed--td21067367s22882.html,0,0
Throttler appears to 'throttle' per thread instead of throttling across multiple threads,,0,1
@EndpointInject can not lookup bean if endpoint is defined directly as a consumer (from),I was messing with camel-spring and routes using spring DSLI had this part of unit test code @EndpointInject(name = 'myFileEndpoint') protected Endpoint inputFile;To lookup an endppoint with the given name myFileEndpointBut if I define it directly then it cannot be found &lt;route&gt; &lt;from id='myFileEndpoint' uri='file://target/antpathmatcher?consumer.recursive=true&amp;amp;filter=#myFilter'/&gt; &lt;to uri='mock:result'/&gt; &lt;/route&gt;So I have to define it as a loose endpoint as: &lt;endpoint id='myFileEndpoint' uri='file://target/antpathmatcher?consumer.recursive=true&amp;amp;filter=#myFilter'/&gt; &lt;route&gt; &lt;from ref='myFileEndpoint'/&gt; &lt;to uri='mock:result'/&gt; &lt;/route&gt;,0,0
ConcurrentModificationException when stop the camel-osgi bundle,ERROR: Error stopping mvn:org.apache.camel/camel-osgi/1.5.0 (org.osgi.framework.BundleException: Activator stop error.)java.util.ConcurrentModificationException at java.util.HashMap$HashIterator.nextEntry(HashMap.java:841) at java.util.HashMap$ValueIterator.next(HashMap.java:871) at org.apache.camel.osgi.Activator.mayBeRemoveComponentFor(Activator.java:85) at org.apache.camel.osgi.Activator.stop(Activator.java:120) at org.apache.felix.framework.util.SecureAction.stopActivator(SecureAction.java:613) at org.apache.felix.framework.Felix._stopBundle(Felix.java:1995) at org.apache.felix.framework.Felix.stopBundle(Felix.java:1952) at org.apache.felix.framework.Felix.setFrameworkStartLevel(Felix.java:1151) at org.apache.felix.framework.StartLevelImpl.run(StartLevelImpl.java:267) at java.lang.Thread.run(Thread.java:595),0,0
camel-xmpp to work with google chat,See blog entryhttp://www.andrejkoelewijn.com/wp/2008/12/30/using-google-talk-from-java-example/There is a solution that works with plain java. Could be used to identify what needs to be fixed in Camel to get it working with Google chat as well.Notice I haven't verified if it doesn't already work with google chat. Just created this ticket to not forget it.,0,0
camel-restlet security extension,Now we have basic http auth. Quick shot is adding digest as it is supported by Restlet  but I have something more in mind. As I'm using token based auth and for me http auth is not suitable (pushing credentials back and forth all the time etc). How about a pattern where from one endpoint you can consume a ticket/token/sessionId and you can use it as a header to authenticate? As now the realm is to keep login and pass and it could be something like a bean that can validate the token. Of course that data would not be static so it is more about a callback (eg. getTokens()) than a static map/list. And finally as we have the uri we can resolve an 'operation' and do authorization (so uri+method is the target). I mean in my project I have processor that does stuff like that and it would be cool to have all those things in one place in consumer (and provide only data and have skeletal logic under the hood).Now the question is if my idea makes sense and if so what are your suggestions on how to implement that w/o reinventing the wheel (and not using ACEGI )Btw  Claus  William - logs about attaching/detaching restlets are at info level and it's kind of spamming if there are say 20 endpoints... Maybe it should be at debug?,1,0
Improve JMS header name endocing/decoding strategy,We have a scenario where we need to perform the following style of integration:HTTP -&gt; JMS -&gt; HTTPThe final HTTP endpoint needs to receive the headers as they were in the original HTTP request. However  I am finding that the HTTP headers that contain a hyphen (such as Content-Type  Content-Length etc) are being omitted when the messages go onto the queue. JmsBinding has two static methods to perform some basic header manipulation to 'encode' and 'decode' headers that are not valid Java identifiers. However  the strategy employed does not handle hyphens or other illegal characters  only periods. Secondly  as static methods they cannot be overridden by my own extension of JmsBinding. And finally  JmsHeaderFilterStrategy has a static link back to these methods in JmsBinding so that makes it hard to replace.To me  it would be more appropriate that HeaderFilterStrategy implementations should actually contain the code to Advise if a header needs to be encoded/decoded  which it already does  but in addition; Actually perform that encoding/decoding in it's own implementation-specific wayThis affects 1.5.0 but it's also in the trunk like this.I have a workaround which is a little messy but it works Thanks Jason,0,0
Pipeline could change the MEP unintended,When exchanges is processed from pipeline they result is copyed as input to the next exchange. However during this copy Camel could potentially change the MEP to InOut. It should respect the original MEP.The flaw is in ExchangeHelper#copyResultsFixing this also forces end users to use the correct send/request method on ProducerTemplate. Now Camel will keep the MEP.So if you are using send then its inOnly and then you the there is no result. Use request for InOut MEP's.This breaks a few of our own unit testing that was using the wrong method.,0,0
Tracer - allow configuration of fixed size of leading breadcrum or let it be variable sized,The TraceFormatter fixes the breadcrum to 65 chars. If you output the exchange id and its based on the computer name it can be long  and thus cut important parts such as the destination.Allow it to be wider and add option to configure the length or let it be variable.breadcrumLength = 65. Setting it to 0 will let it be flexible. Maybe bump the 65 to 80 to let it be bigger from the start.,0,0
file consumer - support expression for setting the folder/file to consume,Would be nice to support the file language to set dynamic patterns for the starting folder/file to consume.See nabble:http://www.nabble.com/Mega-mega-%28VFS%29-file-handler-to21346374s22882.html,0,0
SFTP : Polling - Cannot list directory Error,http://www.nabble.com/SFTP-%3A-Polling---Cannot-list-directory-to21413159s22882.html,0,0
camel-cxf: URI option for serviceClass does not support lookup in registry,Having an endpoint such as: String cxfEndpoint = 'cxf://http://localhost:8080/part-five/webservices/incident' + '?serviceClass=org.apache.camel.example.reportincident.ReportIncidentEndpoint' + '&amp;wsdlURL=report_incident.wsdl';The serviceClass option currently only supports defining a FQN for the class. I think we need to support Registry lookup as well using the # notation. So you can do: String cxfEndpoint = 'cxf://http://localhost:8080/part-five/webservices/incident' + '?serviceClass=#reportService' + '&amp;wsdlURL=report_incident.wsdl';And then have it defined in Spring XML:&lt;bean id='reportService' class='...'&gt;The # notation is already supported if you use the cxf Spring XML configuration. We need this in the Java DSL as well.Sorry if it already exists. But I got a hint from a Camel end user that it didn't,0,0
Starting Camel using Main from camel:run or Main.class - countdown latch is hanging,The countdown latch in MainSupport is not completed when Main is stopping.Then we have a hanging thread. Can bee seen using ctrl + /,0,0
Can only interact with servicemix-http if logging is at DEBUG,Given the following camel DSL:from('activemq:queue.testJms.in')  .to('jbi:service:urn:oms:testHttp?mep=in-out')  .to('activemq:queue.testJms.out'); and the following xbean.xml for the smx (3.3) SU:&lt;http:endpoint  service='oms:testHttp'  endpoint='testHttp'  role='provider'  locationURI='http://localhost:8080/testP1'&gt; &lt;/http:endpoint&gt; then Camel operates correctly (or at least as desired) only if DEBUG logging is enabled in the org.apache.servicemix.http package. This seems to be because a DOMSource is returned (which Camel can convert). If the log level is reduced (say to WARN) then a StreamSource object is returned instead which Camel appears unable to convert. This results in stack traces such as:ERROR - DeadLetterChannel - Failed delivery for exchangeId: ID-davisond-laptop/53380-1232099798317/0-0. On delivery attempt: 0 caught: org.apache.camel.RuntimeCamelException: javax.xml.transform.TransformerException: java.io.IOException: Attempted read on closed stream. org.apache.camel.RuntimeCamelException: javax.xml.transform.TransformerException: java.io.IOException: Attempted read on closed stream.  at org.apache.camel.util.ObjectHelper.invokeMethod(ObjectHelper.java:441)  at org.apache.camel.impl.converter.InstanceMethodTypeConverter.convertTo(InstanceMethodTypeCo+nverter.java:57),0,0
Jetty HTTP SelectChannelConnector is not closed when CamelContext is stopped,When the camel-jetty component is shut down  it leaves Jetty SelectChannelConnector instances active.,0,1
Apache camel example reportincident dependency removed from pom.xml,Hi Someone has removed the following dependency from the camel pom.xml file : &lt;dependency&gt; &lt;groupId&gt;org.apache.camel&lt;/groupId&gt; &lt;artifactId&gt;camel-example-reportincident&lt;/artifactId&gt; &lt;version&gt;${project.version}&lt;/version&gt; &lt;/dependency&gt;,0,0
SQL component doesn't handle wrong number of parameters,NPE thrown when null body sent to to SQL endpoint. When to many parameters are set then exception is thrown but nothing wrong happens when to less parameters are set.It should be possible to set null as a body as there might be parameterless statement to execute. There should be consistent Exception thrown when wrong number of parameters is set.,0,0
camel-ftp : uri set on endpoint has stripped all parameters  that is wrong as they should be there as well,See nabblehttp://www.nabble.com/Camel-Remote-File-Producer---Recipient-List-Password-Issue-td21678952s22882.htmlThe bug is introduced with CAMEL-941,0,0
Seda component should configure its executor,Currently SEDA endpoint processes only using 1 thread so it is impossible to easily configure few concurrent processings on 1 seda endpoint. I believe SEDA endpoint could be configured with some executor and/or thread number that we would like to use to process given flows.,0,0
Two more NullPointerExceptions when context classloader is null,When I applied the CAMEL-1301 fix (thanks Claus) I hit two more NullPointerExceptions caused by code that assumes that the context classloader will never be null.Here's the relevant part of one stack trace:java.lang.NullPointerException at org.apache.camel.impl.converter.AnnotationTypeConverterLoader.findPackages(AnnotationTypeConverterLoader.java:97) at org.apache.camel.impl.converter.AnnotationTypeConverterLoader.findPackageNames(AnnotationTypeConverterLoader.java:91)And the other:java.lang.NullPointerException at org.apache.camel.util.ResolverUtil.getResources(ResolverUtil.java:402) at org.apache.camel.util.ResolverUtil.find(ResolverUtil.java:313) at org.apache.camel.util.ResolverUtil.find(ResolverUtil.java:290)A patch is attached.,0,0
The xpath expression evaluations should rest the cached stream,&lt;route&gt; &lt;from uri='jetty:http://localhost:8084/services/simpleService'/&gt; &lt;choice&gt; &lt;when&gt; &lt;xpath&gt;/sim:GetCapabilitiesRequest&lt;/xpath&gt; &lt;/when&gt; &lt;when&gt; &lt;xpath&gt;/sim:GetMetadataRequest&lt;/xpath&gt; &lt;/when&gt; &lt;/choice&gt;&lt;/route&gt;A messages that matches the first when statement (I tested with both the route above and a version where I swapped the two xpath statements to make sure it was not dependent on the actual message) throws no errors and a call that matches the second when statement throws the Premature end of file error.,0,0
Add regexReplaceAll to builder support,... so we can do things likefrom('direct:start').setBody(regexReplaceAll(body()  'Foo'  'Bar'))...which essentially is equivalent to sed 's/Foo/Bar/g' on the body.,0,0
EndpointMessageListener should respect ExchangePattern,In all current releases  org.apache.camel.component.jms.EndpointMessageListener.onMessage() has the following logic (line 90 in 1.6.0 code):// send the replyif (rce == null &amp;&amp; body != null &amp;&amp; !disableReplyTo) { sendReply(replyDestination  message  exchange  body);}This logic should also respect ExchangePattern of the exchange  so I propose a change to:// send the replyif (rce == null &amp;&amp; body != null &amp;&amp; exchange.isOutCapable()) { sendReply(replyDestination  message  exchange  body);}This change allows a processing pattern where the route may change the ExchangePattern using methods like RouteBuilder.inOnly() to switch the MEP at will so that the reply is send at a later time (true asynchronous exchange). This processing pattern is particularly useful for integrating long running services. For example // Java DSLfrom('activemq:my_queue?exchangePattern=InOnly').to('predict_weather://?reply_later=true');// orfrom('activemq:my_queue2').inOnly().to('predict_weather://?reply_later=true');The flaw of the current logic makes it impossible to do true asynchronous exchange  because 1) it does not respect the ExchangePattern; 2) if property 'disableReplyTo' is used  the 'org.apache.camel.jms.replyDestination' property will not be set (see method createExchange in the same file)  thus downstream cannot find the reply destination.The proposed change can also deprecate the disableReplyTo property and put the MEP concept into good use.,0,1
@Header should have a value default so you do not have to set the name attribute,Doing this bean binding: public List&lt;String&gt; route(@XPath('/customer/id') String customerId  @Header('Location') String location  Document body) {The @Header does not have a default value  so you have to do this to get it to work: public List&lt;String&gt; route(@XPath('/customer/id') String customerId  @Header(name = 'Location') String location  Document body) {So we should support you do not have to set the name attribute.,0,0
ExchangeHelper should respect ExchangePattern.InOptionalOut,The utility method org.apache.camel.util.ExchangeHelper.copyResults() is use by many core classes. However  this method does not properly support MEP InOptionalOut.Assuming in an InOptionalOut exchange  having no out message means just that &#8211; no out message should be sent  then the following lines in this method// Message out = source.getOut(false); if (out != null) { result.getOut(true).copyFrom(out); } else { // no results so lets copy the last inputshould be changed to:// Message out = source.getOut(false); if (out != null) { result.getOut(true).copyFrom(out); } else if (result.getPattern() == ExchangePattern.InOptionalOut) { result.setOut(null); } else { // no results so lets copy the last input,1,1
JaxbDataFormat is not thread-safe,JaxbDataFormat reuses the Marshaller/Unmarshaller instances.However  according to the https://jaxb.dev.java.net/faq/index.html#threadSafety  Marshaller/Unmarshaller instances are NOT thread safe  so you can't use them from separate threads at the same time.Due to this we are getting exceptions from the JAXB implementation (like ClassCastException or 'org.xml.sax.SAXException: FWK005 parse may not be called while parsing.'). Everything works nice with our custom JaxbDataFormat that creates new Unmarshaller/Marshaller instance on every request.Also  lazy-creating instances (like JAXBContext) in getter methods is not thread-safe as well (because explicit synchronization is required).,0,0
Camel-quartz - improve setting of cron expression to be more cron like,See nabble:http://www.nabble.com/Re%3A-Camel-quartz-td22247508.html,0,0
File component - better support for absolute path,See nabble:http://www.nabble.com/File%3A-using-absolute-file-paths-with-moveExpressions-td22253199.html,0,0
CamelContext - Add ClassResolver to be used when you need to load a class instead of ObjectHelper.loadClass to work in OSGi environments,Add the skeleton and let Willem add the stuff in camel-osgi,0,0
Can not load the QueueBrowserStrategy in OSGI environment,Here is the mail thread which discusses about it.http://www.nabble.com/Classloading-and-OSGI-to22303475.html#a22303475,0,0
JMSMessage vanishes attachments,When using this kind of route&lt;from uri='activemq:queue:test'/&gt;&lt;camel:process ref='mailProcessor' /&gt;&lt;to uri='smtp://localhost:25?to=user@localhost' /&gt;and trying to enrich the message in the mailProcessor withexchange.getIn().addAttachment('attachement.txt'  new DataHandler('Hello world'  'text/plain'));The received mail doesn't contains any attachment.If the input 'from' is a 'direct' instead of activemq  it works fine.Inspecting source code  MessageSupport.copyFrom(Message that) doesgetAttachments().putAll(that.getAttachments());but the child class JmsMessage doesn't.,0,0
StreamCache causes to many type converters not possible,Since StreamCache is default turned on it cause to many convters attempt that fails in MessageSupport.No type converter available to convert from type: java.lang.Integer to the required type: org.apache.camel.StreamCache with value 1It hurts performance to much. See nabble:http://www.nabble.com/Performance-and-MessageSupport.getBody-%281.6.0%29-td22291841s22882.html,0,1
Bean component - improve method selection logic for overloaded methods,If end users have overloaded methods with different types as method parameter Camel should try to find the method with exact type match from the payload.See nabble:http://www.nabble.com/Is-it-possible-to-overload-a-bean-method--td22338316s22882.html,0,0
unmarshaling of data always send the last occurence of the stream,The unmarshaling method of BindyDataFormat (CSV or Key Value Pair) does not create a new model object for each new line of the stream readed,0,0
Unable to resolve scripting languages in OSGi environment,The OsgiLanguageResolver.java created since CAMEL-1221 does not resolve scripting languages by using the default resolver declared in camel-script. The DefaultLanguageResolver  however in the non-osgi context  handles it properly.This leads to NullPointerException while launching a route in an OSGi container using a scripting language  e.g. javascript.Exception in thread 'SpringOsgiExtenderThread-2' java.lang.NullPointerException at org.apache.camel.model.language.ExpressionType.createPredicate(ExpressionType.java:145) at org.apache.camel.model.ExpressionNode.createFilterProcessor(ExpressionNode.java:95) at org.apache.camel.model.WhenType.createProcessor(WhenType.java:57) at org.apache.camel.model.ChoiceType.createProcessor(ChoiceType.java:73)...,0,0
IdempotentConsumer - should only add to repository after processing  so we know the processing was a success,Just as the file component does with its build in support for idempotent. It should add to it last  eg after processing.See nabble:http://www.nabble.com/Problem-with-IdempotentConsumer-td22467720s22882.html,0,0
A request route with a topic node incurs a 20 second wait and refers to the wrong MEP.,If a route contains a node that publishes to a topic  the route is incorrectly suspended for a default 20 seconds at the topic node. Further  JmsProducer.java checks the MEP of the original request Exchange and not the endpoint of the topic.For example  say I have a route built like this:from('activemq:queue:request'). to('generate_news'). to('activemq:topic:news'). to('do_something_else');The original request is expecting a reply. However  after the 'news' is pumped into the news topic  there is a default 20 second wait (requestTimeout). This wait always results in the exception: 'The OUT message was not received within: 20000 millis on the exchange...' After reading the JmsProducer code  I changed the route to the following:from('activemq:queue:request'). to('generate_news'). to('activemq:topic:news?exchangePattern=InOnly'). to('do_something_else');This reveals the root of the bug  which is in the first few lines of method org.apache.camel.component.jms.JmsProducer.process(Exchange):// public void process(final Exchange exchange) { final org.apache.camel.Message in = exchange.getIn(); if (exchange.getPattern().isOutCapable()) {The above if statement checks the MEP of the original request's Exchange and not the new endpoint of the news topic. This makes the above '?exchangePattern=InOnly' configuration useless  because the original request MEP is InOut. The result is that after that 20 second time-out  the temporary queue for the original request has expired  so the whole request failed. Note that the next node 'do_something_else' is never reached due to the time-out exception.,0,1
JMX instrumentation - will add DeadLetterChannel even if you have defined to use NoErrorHandler,See nabble:http://www.nabble.com/StreamCaching-in-Camel-1.6-td22305654s22882.htmlI will add an unit test that demonstrates this:org.apache.camel.processor.ChoiceNoErrorHandlerTestThe route should at all time not contain any error handler at all  regardless wether JMX is enabled or not.,0,0
Added a Spring configuration in the camel-example-reportincident,We should provide the Spring configuration which equals to the Java DSL route rule in camel-example-reportincident  as some user prefer to use Spring.,0,0
JMS - Sending a message with jmsTemplate102=true fails,See nabble:http://www.nabble.com/Apache-Camel-2.0-M1-java.lang.ClassCastException%3A-org.apache.camel.component.jms.JmsConfiguration%24CamelJmsTeemplate102-td22665483s22882.htmlThe ClassCastException is because of the old JMS API is used.Camel should test whether the template is 1.1 or 1.0.2 and cast to correct type.,0,0
Allow parementer append for jms bindings with no endpoint,See test failures in https://issues.apache.org/activemq/browse/AMQ-2182,0,0
JmsPollingConsumer - receive does not work,The timeout values to set on Spring JmsTemplate is wrong. We should uses the provided constants on JmsTemplate for this /** * Timeout value indicating that a receive operation should * check if a message is immediately available without blocking. */ public static final long RECEIVE_TIMEOUT_NO_WAIT = -1; /** * Timeout value indicating a blocking receive without timeout. */ public static final long RECEIVE_TIMEOUT_INDEFINITE_WAIT = 0;Is the correct values. Looks like the values was reverted in the camel-jms code,0,0
Bean component should propagate headers,When doing a route an you invoke a bean that sets a response on the OUT body it does not propagate the headers from the IN body.,0,0
javax.xml.transform.Source and StreamSource wrapped should be easier to route with JMS,See SM-1826What end users need to do is to use .convertBodyTo(String.class) before sending to a JMS queue with Camel when the payload is XML based  eg the javax.xml.transform.Source class that can be wrapped in a StreamCache as well.It should be able to route out of the box by converting to byte[] in the JMS producer,0,0
HTTP_URI and HTTP_PATH message headers not concatenated when sending messages to http endpoint,When a message is sent to an http endpoint  the path specified in the HTTP_PATH header is ignored.In the HttpProducer.createMethod() of the camel-http component  the URI is taken from the HTTP_URI header or the endpoint  but the HTTP_PATH header is not concatenated. See also the discussion on the mailing list: http://www.nabble.com/Setting-a-path-in-message-header-with-Camel-http-2.0M1-td22781504.html,1,0
deploy the CamelContext with velocity endpoint into the Servicemix 4.0 will get the  NoClassDefFoundError,&#91;trace&#93; ******************************************************************* &#91;debug&#93; Starting Apache Velocity v1.5 (compiled: 2007-02-22 08:52:29) &#91;trace&#93; RuntimeInstance initializing. &#91;debug&#93; Default Properties File: org/apache/velocity/runtime/defaults/velocity.properties &#91;debug&#93; Trying to use logger class org.apache.velocity.runtime.log.Log4JLogChute &#91;debug&#93; Couldn't find class org.apache.velocity.runtime.log.Log4JLogChute or necessary supporting classes in classpath.org/apache/log4j/Layoutjava.lang.NoClassDefFoundError: org/apache/log4j/Layout at java.lang.Class.forName0(Native Method) at java.lang.Class.forName(Class.java:164) at org.apache.velocity.util.ClassUtils.getClass(ClassUtils.java:76) at org.apache.velocity.util.ClassUtils.getNewInstance(ClassUtils.java:95) at org.apache.velocity.runtime.log.LogManager.createLogChute(LogManager.java:147)We can get around this issue by replacing the org.apache.velocity.runtime.log.Log4JLogChute withorg.apache.velocity.runtime.log.Log4JLogChute  and also need to update the Servicemix Velocity bundle to 1.6.,0,0
Recursively scan multipart nodes of an email for attachments - not just top level nodes,The current code will only scan the top level of a multipart message. This misses any attachments that are under another node.All unit tests still run for me after applying this patch.,0,0
